name,aliases,slug,tier,sourceGroup,category,website,logoUrl,whatTheyDo,whatTheyDo_method,whatTheyDo_variant,whatTheyDo_sourceUrl,whatTheyDo_fetchedAt,whatTheyDo_writer,whatTheyDo_note,useCases,useCases_method,useCases_basis,useCases_fetchedAt,useCases_writer,useCases_note,whatTheyDo_unsourced,useCases_unsourced,unsourced_method,unsourced_confidence,unsourced_writer,unsourced_note,confidence,confidenceScore,confidence_method,confidence_originalValue,confidence_thresholds,confidence_note,logoUrl_method,logoUrl_sourceUrl,sourceUrl,extractedAt,lastSeenAt,status,isDataArtifact,year,recordId
Getepay,,getepay,Omni-Channel Payments Partner,Partners,payments,http://www.getepay.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/0631e99e-0e1f-4a97-9df1-9dd7207ffd03-GetePay.png,,unsourced,,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","Indian payments provider offering omni-channel merchant acceptance across UPI, cards, netbanking, QR and payment links.",UPI and QR merchant collections;Payment links for remote invoicing;Omni-channel online and offline acceptance;Merchant settlement and reporting,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",low,0.6,normalised-from-numeric,0.6,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f370
Gift City,,gift-city,Exhibitor,Exhibitors,other,https://giftgujarat.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/cdadd203-1f46-44ea-b042-e1a0d8a8a121-gift-city-website-logo.png,"Discover GIFT City - India’s first International Financial Services Centre (IFSC), a global finance hub, and a platinum-rated Greenfield Smart City.",direct-meta-description,,https://giftgujarat.in/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ce4
GLEIF,,gleif,Ecosystem,Ecosystem,regtech,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/079034ed-5004-45d4-b7bc-8907eb69ec4a-GLEIF.png,"Global Legal Entity Identifier Foundation, the body overseeing the LEI system for identifying legal entities in financial transactions.",curated-public-facts,,,2026-08-12T13:32:27Z,,"stable public fact about what the organisation is; no GFF-2026 claims, no time-sensitive detail",identity verification,curated-public-facts,,2026-08-12T13:32:27Z,,,,,,,,,high,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ce5
Gnani.ai,,gnani-ai,Bronze Partner,Partners,ai,https://www.gnani.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/778d3b8d-4a8b-424d-8509-591e5b7dacd1-Gnaniai.png,"Voice AI built for real-world enterprise scale. ASR, TTS, voice agents, speech analytics, and voice biometrics across 40+ languages. Trusted by 200+ global enterprises.",direct-meta-description,,https://www.gnani.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,analytics and reporting;AI and automation,phrase-match:whatTheyDo,,,,,"Conversational AI company providing multilingual speech and voice bots for customer service, collections and verification.",Voice bots for loan collections;Multilingual customer service automation;Voice biometrics for authentication;Agent assist and call analytics,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.65,normalised-from-numeric,0.65,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3a4
Google Pay,,google-pay,Co-Powered By,Partners,payments,https://pay.google.com/intl/en_us/about/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/040592d0-eef4-4a98-96af-19d9df3ffca3-google-pay.png,Digital payments app,curated-public-facts,,,earlier-in-this-session,,,UPI payments;peer-to-peer transfers,phrase-match:whatTheyDo,,,,,"Google's consumer payments app, one of the largest UPI apps in India by transaction volume. Enables peer-to-peer transfers, merchant QR payments and bill pay.",UPI peer-to-peer money transfer;Merchant QR code acceptance;Utility and bill payments;Tokenised card payments in-app,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",high,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f353
Gridlines by OnGrid,,gridlines-by-ongrid,Exhibitor,Exhibitors,other,http://gridlines.io,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/3acde521-de8d-4be1-8746-c6d319274d06-Gridlines.png,"Digital onboarding platform for customer verification, Video KYC, eSign, fraud detection, and identity workflows.",direct-meta-description,,http://gridlines.io,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,KYC and onboarding;identity verification;fraud prevention,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ce6
HDFC,HDFC Bank,hdfc,Brought To You By,Partners,other,https://www.hdfc.bank.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/47e5cb40-359a-4897-9e51-b2c1cf416762-HDFC.png,"HDFC Bank, India's leading private sector bank, offers Online NetBanking & Personal Banking Services like Accounts & Deposits, Cards, Loans, & Investment.",direct-meta-description,,https://www.hdfc.bank.in/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,digital lending;wealth management,phrase-match:whatTheyDo,,,,,"India's largest private sector bank by assets, offering retail and corporate banking, cards and digital banking services.",Retail current and savings accounts;Credit card issuance and acquiring;Corporate and SME lending;Digital banking and API banking for fintechs,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ce7
helo.ai,,helo-ai,Silver Partner,Partners,ai,https://helo.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/0f530e37-d4f3-4c45-be13-3dcfe7dba9ac-HELOAI.png,"Helo.ai is a trusted CPaaS platform offering WhatsApp Business API, SMS API, Voice API, Email API, RCS, chatbots, and omnichannel customer engagement.",direct-meta-description,,https://helo.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,customer communication;AI and automation;cloud infrastructure,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ce8
Heph,,heph,Exhibitor,Exhibitors,other,https://heph.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/6b5f0d68-1b3c-4662-8a02-f391c6359728-Heph.png,Heph - India's Largest Insurance SAAS Platform,apify:apify/website-content-crawler,homepage-body-text,https://heph.in/,2026-08-12T13:30:52Z,,,insurance distribution;cloud infrastructure,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ce9
Hitachi Payments,Hitachi Payment Services,hitachi-payments,Bronze Partner,Partners,payments,https://www.hitachi-payments.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/c0b6d8ab-2e30-4cee-be39-09f50cc68a2f-HITACHI.png,"In the fast changing world of money and banking, we empower Banks, Fintechs and Aggregators with innovative and end-to-end payment solutions that create customer delight, drive profitability and most importantly, bring payment services closer to people.",direct-meta-description,,https://www.hitachi-payments.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","Payment and cash services company operating ATMs, POS acquiring and digital payment infrastructure across India.",ATM deployment and managed services;POS acquiring for merchants;Cash management and currency logistics;UPI and digital payment processing,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cea
HSBC,,hsbc,Innovation Leadership Partner,Partners,banking,https://www.hsbc.bank.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/73cf095f-d799-4c43-ac3a-a57a711f544a-HSBC.png,Global bank,curated-public-facts,,,earlier-in-this-session,,,corporate banking;cross-border payments;trade finance,phrase-match:whatTheyDo,,,,,"Global banking and financial services group offering retail, commercial, and institutional banking with a large trade finance franchise.",Cross-border trade finance;Global transaction banking and cash management;Corporate FX and treasury services;Wealth and private banking,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",high,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f365
HyperVerge,,hyperverge,Exhibitor,Exhibitors,other,https://hyperverge.co/in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/f1caaeff-0af2-4182-94b0-ea35023962af-HyperVerge.png,"Built for banks, NBFCs & fintechs. RBI-compliant KYC, AML checks, deepfake detection & fraud prevention at scale. 2B+ identities verified globally. Start today.",apify:apify/website-content-crawler,meta-description,https://hyperverge.co/in/,2026-08-12T13:30:52Z,,,KYC and onboarding;fraud prevention;AML and compliance,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ceb
IDA Ireland,,ida-ireland,Country Partner,Partners,other,https://www.idaireland.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/a810d6d9-5e45-4768-ad30-71732d5617d5-IDAIreland.png,IDA Ireland is the foreign investment promotion agency that helps companies expand into Ireland and beyond. Looking to expand into Europe? Think IDA,apify:apify/website-content-crawler,meta-description,https://www.idaireland.com/,2026-08-12T13:30:52Z,,,wealth management,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,"Ireland's inward investment promotion agency, supporting international financial services and fintech firms setting up operations in Ireland.",Supporting fintech expansion into Europe via Ireland;EU regulatory market entry advisory;Site selection and investment incentives;Connecting Indian fintechs to Irish partners,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.7,normalised-from-numeric,0.7,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3a2
Identy.io,,identy-io,Exhibitor,Exhibitors,other,https://www.identy.io/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/7115f137-ae6e-48c6-83a2-cffccf93e54b-identy.io-website-logo.png,,,,,,,,,,,,,,,,,,,,low,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cec
iDreamBiz,,idreambiz,Exhibitor,Exhibitors,other,https://www.idreambiz.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/47a59568-7b42-4d4b-bcb1-f2aa7cfeec9e-iDreamBiz.png,"An all-in-one platform for limitless business communication, seamless",apify:apify/website-content-crawler,homepage-body-text,https://www.idreambiz.com/,2026-08-12T13:30:52Z,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ced
IFSCA,,ifsca,Exhibitor,Exhibitors,regtech,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/d4328b18-63c9-4bed-bde9-a282690a8e63-ifsca-website-logo.png,"India's International Financial Services Centres Authority, the unified regulator for financial services in the country's IFSCs, including GIFT City.",curated-public-facts,,,2026-08-12T13:32:27Z,,"stable public fact about what the organisation is; no GFF-2026 claims, no time-sensitive detail",AML and compliance,curated-public-facts,,2026-08-12T13:32:27Z,,,,,,,,,high,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cee
Ignosis,,ignosis,Financial Intelligence Partner,Partners,infra,https://ignosis.ai,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/741b0fb0-178e-48f2-bbfc-559a908da6d0-Ignosis.png,"Transform financial data into actionable intelligence with Account Aggregator infrastructure, risk analytics, and agentic AI automation for BFSI.",apify:apify/website-content-crawler,meta-description,https://ignosis.ai/,2026-08-12T13:30:52Z,,,account aggregation;analytics and reporting;AI and automation;cloud infrastructure,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,Financial data intelligence company that analyses Account Aggregator and transaction data to produce lending and risk insights.,Account Aggregator data analytics for lenders;Cash-flow based underwriting;Income verification from bank transactions;Early warning signals on borrower health,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.65,normalised-from-numeric,0.65,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f371
